1230155,2021-09-11,Round 5,Paris SG,4,Clermont Foot,0,https://www.thesportsdb.com/images/media/event/thumb/11hydn1625166489.jpg
1230147,2021-09-12,Round 5,Bordeaux,2,Lens,3,https://www.thesportsdb.com/images/media/event/thumb/ow2re31627321456.jpg
1230148,2021-09-12,Round 5,Brest,1,Angers,1,https://www.thesportsdb.com/images/media/event/thumb/oraon41625166485.jpg
1230150,2021-09-12,Round 5,Lyon,3,Strasbourg,1,https://www.thesportsdb.com/images/media/event/thumb/qx2cil1625166486.jpg
1230151,2021-09-12,Round 5,Metz,0,Troyes,2,https://www.thesportsdb.com/images/media/event/thumb/xfgwkf1625166487.jpg
1230153,2021-09-12,Round 5,Montpellier,2,St Etienne,0,https://www.thesportsdb.com/images/media/event/thumb/biib7x1625166488.jpg
1230154,2021-09-12,Round 5,Nantes,0,Nice,2,https://www.thesportsdb.com/images/media/event/thumb/n3gh9b1625166489.jpg
1230156,2021-09-12,Round 5,Rennes,0,Stade de Reims,2,https://www.thesportsdb.com/images/media/event/thumb/c4o4zl1625166490.jpg
1230165,2021-09-17,Round 6,Strasbourg,3,Metz,0,https://www.thesportsdb.com/images/media/event/thumb/9myavy1625166495.jpg
1230159,2021-09-18,Round 6,Lens,1,Lille,0,https://www.thesportsdb.com/images/media/event/thumb/fygs6l1625166492.jpg
1230164,2021-09-18,Round 6,St Etienne,1,Bordeaux,2,https://www.thesportsdb.com/images/media/event/thumb/65c7so1627321457.jpg
1230157,2021-09-19,Round 6,Angers,1,Nantes,4,https://www.thesportsdb.com/images/media/event/thumb/7ojxcs1625166490.jpg
1230158,2021-09-19,Round 6,Clermont Foot,1,Brest,1,https://www.thesportsdb.com/images/media/event/thumb/p8x8ul1625166491.jpg
1230160,2021-09-19,Round 6,Marseille,2,Rennes,0,https://www.thesportsdb.com/images/media/event/thumb/1gwt6g1625166492.jpg
1230161,2021-09-19,Round 6,Nice,2,Monaco,2,https://www.thesportsdb.com/images/media/event/thumb/ro54km1625166493.jpg
1230162,2021-09-19,Round 6,Paris SG,2,Lyon,1,https://www.thesportsdb.com/images/media/event/thumb/p575hi1625166493.jpg
1230163,2021-09-19,Round 6,Stade de Reims,0,Lorient,0,https://www.thesportsdb.com/images/media/event/thumb/5xa17k1625166494.jpg
1230166,2021-09-19,Round 6,Troyes,1,Montpellier,1,https://www.thesportsdb.com/images/media/event/thumb/y5sf8f1625166496.jpg
1230167,2021-09-22,Round 7,Angers,0,Marseille,0,https://www.thesportsdb.com/images/media/event/thumb/vtlvbd1625166496.jpg
1230168,2021-09-22,Round 7,Lens,0,Strasbourg,1,https://www.thesportsdb.com/images/media/event/thumb/koqgqx1625166497.jpg
1230169,2021-09-22,Round 7,Lille,2,Stade de Reims,1,https://www.thesportsdb.com/images/media/event/thumb/b9z0we1625166497.jpg
1230170,2021-09-22,Round 7,Lorient,1,Nice,0,https://www.thesportsdb.com/images/media/event/thumb/r96tzp1625166498.jpg
1230171,2021-09-22,Round 7,Lyon,3,Troyes,1,https://www.thesportsdb.com/images/media/event/thumb/kr2in51625166499.jpg
1230172,2021-09-22,Round 7,Metz,1,Paris SG,2,https://www.thesportsdb.com/images/media/event/thumb/enji8s1625166499.jpg
1230173,2021-09-22,Round 7,Monaco,3,St Etienne,1,https://www.thesportsdb.com/images/media/event/thumb/sarqhx1625166500.jpg
1230174,2021-09-22,Round 7,Montpellier,3,Bordeaux,3,https://www.thesportsdb.com/images/media/event/thumb/fambyg1627321457.jpg
1230175,2021-09-22,Round 7,Nantes,3,Brest,1,https://www.thesportsdb.com/images/media/event/thumb/ao62on1625166501.jpg
1230176,2021-09-22,Round 7,Rennes,6,Clermont Foot,0,https://www.thesportsdb.com/images/media/event/thumb/575mcu1625166502.jpg
1230180,2021-09-25,Round 8,Lyon,1,Lorient,1,https://www.thesportsdb.com/images/media/event/thumb/9vwkf81625166504.jpg
1230182,2021-09-25,Round 8,Paris SG,2,Montpellier,0,https://www.thesportsdb.com/images/media/event/thumb/qz1qd21625166505.jpg
1230184,2021-09-25,Round 8,St Etienne,0,Nice,3,https://www.thesportsdb.com/images/media/event/thumb/yysw2y1625166506.jpg
1230185,2021-09-25,Round 8,Strasbourg,1,Lille,2,https://www.thesportsdb.com/images/media/event/thumb/xgrtll1625166507.jpg
1230177,2021-09-26,Round 8,Bordeaux,1,Rennes,1,https://www.thesportsdb.com/images/media/event/thumb/nsi8ww1627321458.jpg
1230178,2021-09-26,Round 8,Brest,1,Metz,2,https://www.thesportsdb.com/images/media/event/thumb/eajz6s1625166503.jpg
1230179,2021-09-26,Round 8,Clermont Foot,1,Monaco,3,https://www.thesportsdb.com/images/media/event/thumb/zt98fg1625166503.jpg
1230181,2021-09-26,Round 8,Marseille,2,Lens,3,https://www.thesportsdb.com/images/media/event/thumb/h1f8pa1625166504.jpg
1230183,2021-09-26,Round 8,Stade de Reims,3,Nantes,1,https://www.thesportsdb.com/images/media/event/thumb/icilc91625166505.jpg
1230186,2021-09-26,Round 8,Troyes,1,Angers,1,https://www.thesportsdb.com/images/media/event/thumb/z00i2b1625166507.jpg
1230188,2021-10-01,Round 9,Lens,2,Stade de Reims,0,https://www.thesportsdb.com/images/media/event/thumb/8wvfls1625166508.jpg
1230192,2021-10-02,Round 9,Montpellier,1,Strasbourg,1,https://www.thesportsdb.com/images/media/event/thumb/iuhjn41625166510.jpg
1230194,2021-10-02,Round 9,Nice,2,Brest,1,https://www.thesportsdb.com/images/media/event/thumb/a9zzhp1625166511.jpg
1230187,2021-10-03,Round 9,Angers,3,Metz,2,https://www.thesportsdb.com/images/media/event/thumb/w8gnmz1625166508.jpg
1230189,2021-10-03,Round 9,Lille,2,Marseille,0,https://www.thesportsdb.com/images/media/event/thumb/j60z091625166509.jpg
1230190,2021-10-03,Round 9,Lorient,1,Clermont Foot,1,https://www.thesportsdb.com/images/media/event/thumb/b8ozlz1625166509.jpg
1230191,2021-10-03,Round 9,Monaco,3,Bordeaux,0,https://www.thesportsdb.com/images/media/event/thumb/d2gtzt1627321458.jpg
1230193,2021-10-03,Round 9,Nantes,2,Troyes,0,https://www.thesportsdb.com/images/media/event/thumb/yro0ix1625166511.jpg
1230195,2021-10-03,Round 9,Rennes,2,Paris SG,0,https://www.thesportsdb.com/images/media/event/thumb/ve470a1625166512.jpg
1230196,2021-10-03,Round 9,St Etienne,1,Lyon,1,https://www.thesportsdb.com/images/media/event/thumb/w9mbzx1625166512.jpg
1230204,2021-10-15,Round 10,Paris SG,2,Angers,1,https://www.thesportsdb.com/images/media/event/thumb/2i24jb1625166517.jpg
1230199,2021-10-16,Round 10,Clermont Foot,1,Lille,0,https://www.thesportsdb.com/images/media/event/thumb/c9dmde1625166514.jpg
1230200,2021-10-16,Round 10,Lyon,2,Monaco,0,https://www.thesportsdb.com/images/media/event/thumb/ktw6071625166515.jpg
1230197,2021-10-17,Round 10,Bordeaux,1,Nantes,1,https://www.thesportsdb.com/images/media/event/thumb/t4wgdj1627321459.jpg
1230198,2021-10-17,Round 10,Brest,1,Stade de Reims,1,https://www.thesportsdb.com/images/media/event/thumb/klsghh1625166514.jpg
